"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent"
"Reynolds, Bryan","668804","2024","29","517","571","146","98","24","3","21","130","46",22.8,8.1,".282",".462",".347","0.809",".278",".477",".350",".355",".344",".200",71.6,17.9,17.8,13,36.4,26.5,"6.9","25","90.1","9.7",37,9.8,47,"101.361765258","95.048360284",73.7,18.5,29.9,53,47,"183","345",53.3,"1155","460","1091","503","2167",81.5,"138","746",46.7,"1012",43.3,"939",29.4,50.3
"Rafaela, Ceddanne","678882","2024","23","466","492","120","83","20","4","13","123","15",25,3,".258",".401",".288","0.689",".239",".380",".297",".281",".271",".141",70.2,6.5,11.4,8,31.7,22.2,"7.4","19","86.8","14.7",34.8,6.6,37.1,"98.157736512","93.143224738",78.7,23.5,44.4,45.5,53.8,"180","396",50.8,"892","179","956","476","1757",75.6,"160","681",49.2,"865",41,"720",31.6,61.3
"Abrams, CJ","682928","2024","23","486","542","119","69","26","6","18","114","37",21,6.8,".245",".434",".316","0.750",".253",".414",".323",".323",".324",".161",72.2,24,13,10,31.9,24.6,"7.5","28","88.2","15.2",33.5,6.9,39.9,"99.446857754","93.881019465",70.7,18.2,35.8,38.2,61.8,"137","359",49.1,"1003","350","1011","550","2042",81.5,"134","735",50.9,"1039",43.8,"895",24.8,53.6
"Rutschman, Adley","668939","2024","26","474","530","124","88","17","1","18","84","47",15.8,8.9,".262",".416",".326","0.742",".270",".427",".321",".332",".337",".157",69.3,5.8,11.9,10,35.9,30.2,"7","7","88.5","18.8",37.8,7.1,38.3,"98.491986281","93.400141108",61.3,12.3,28.6,29.2,70.8,"87","298",49.3,"1043","415","1129","453","2115",87.7,"81","657",50.7,"1072",44.3,"938",17.6,45.2
"Pasquantino, Vinnie","686469","2024","26","492","550","130","79","30","2","19","70","40",12.7,7.3,".264",".449",".317","0.766",".268",".446",".327",".333",".325",".178",71.7,19.6,16.4,14.2,37.2,32.3,"7.4","9","91","14.4",32.1,7.1,46.8,"101.030621881","95.010982322",66.2,7.6,30.7,27.8,72.2,"94","338",52,"1102","393","1169","466","2117",91.8,"51","673",48,"1016",42.8,"906",14.3,47.8
"Rooker Jr., Brent","667670","2024","29","428","484","122","67","22","2","31","143","49",29.5,10.1,".285",".563",".362","0.925",".277",".598",".390",".398",".355",".321",74,39.7,18.3,12.7,32.6,22.6,"7.1","17","92.2","18.6",40.6,17.7,51,"103.780360417","96.595385261",72.1,21.9,30.1,57.9,42.1,"179","309",54.1,"1025","271","1010","469","1893",78.1,"137","626",45.9,"868",40.9,"775",33.8,49.4
"Duran, Jarren","680776","2024","27","550","607","162","87","42","13","20","134","49",22.1,8.1,".295",".527",".355","0.882",".277",".468",".375",".348",".339",".191",73.2,33.5,18.2,14.1,30.3,23.4,"7.5","16","91","9.2",33.6,10,45.5,"102.27567087","95.562583913",66.8,15.4,27.3,47,52.7,"154","328",50,"1202","283","1451","560","2405",84.3,"124","804",50,"1204",42.9,"1032",24.6,47.1
"De La Cruz, Bryan","650559","2024","27","510","544","124","82","23","0","19","147","27",27,5,".243",".400",".284","0.684",".253",".447",".295",".317",".294",".194",71.7,19.9,13,9.5,31.7,23.2,"7.7","17","89.6","14",35.8,10.1,42.3,"99.98983377","94.310970137",75.6,22.5,32.6,46.6,53.4,"163","350",51.2,"1074","228","1103","553","2097",77.5,"174","773",48.8,"1023",41.1,"861",30,53.6
"Suárez, Eugenio","553993","2024","32","461","519","109","62","25","2","20","143","41",27.6,7.9,".236",".430",".306","0.736",".235",".413",".317",".314",".308",".178",72.1,20.3,13.2,9.5,30.1,21.7,"7.8","28","88.4","19.6",39.9,9.8,40.2,"99.882300245","94.052382462",66.8,18.9,26.6,56.9,43.1,"152","267",49,"1003","188","1204","486","2049",81.1,"132","699",51,"1046",41.7,"855",29.4,47.1
"Giménez, Andrés","665926","2024","25","476","523","119","95","18","1","5","77","24",14.7,4.6,".250",".324",".302","0.626",".263",".353",".277",".299",".317",".091",68,5.4,7.4,5.7,31.2,23.8,"7","8","86.2","9.4",32.1,2.9,27.7,"96.396136517","92.212868803",75.6,15.4,37.4,36.9,61.2,"135","366",48.9,"979","275","1129","460","2000",83.2,"119","772",51,"1021",44.2,"884",22.3,56.9
"Varsho, Daulton","662139","2024","27","421","471","92","50","19","7","16","122","44",25.9,9.3,".219",".411",".298","0.709",".189",".318",".307",".263",".271",".129",73.4,32.6,11.3,8.4,24.8,18.5,"7.6","6","86.4","24.8",29.2,5.6,33.9,"98.572649795","93.298602945",70.1,19.8,25.3,42.9,56.7,"103","240",50.7,"947","305","1099","387","1877",79.4,"128","646",49.3,"922",45.7,"854",26.2,47.3
"Smith, Josh","669701","2024","26","420","481","111","75","23","1","12","96","40",20,8.3,".264",".410",".351","0.761",".237",".347",".335",".303",".328",".110",70.1,6.3,10.8,8.6,35.3,28,"6.8","9","87.3","15.4",33.5,3.4,35.1,"97.781342037","92.977946533",66.5,14.6,25.1,38.8,60.3,"90","232",48.7,"923","340","1069","408","1894",84.5,"94","646",51.3,"971",43.9,"831",21,46.4
"García, Adolis","666969","2024","31","477","525","107","65","21","0","21","139","37",26.5,7,".224",".400",".286","0.686",".227",".423",".296",".309",".291",".195",72.2,24.9,16.7,11.4,34.7,23.7,"7.9","12","91.5","15.6",32.9,12.2,47.5,"101.987099357","95.520714094",75.4,23.3,33.6,52.2,47.8,"198","379",55.2,"1127","279","1201","399","2040",76.6,"160","688",44.8,"913",40.8,"833",33.6,52.3
"Swanson, Dansby","621020","2024","30","427","477","97","64","19","2","12","120","45",25.2,9.4,".227",".365",".302","0.667",".249",".429",".293",".328",".324",".180",71.7,13,15,10.9,32.9,23.9,"7.4","19","89.5","9.6",34.2,9,42.3,"100.218061871","94.426732097",71.9,22.5,23.3,50.9,49.1,"108","212",47.5,"910","214","1005","526","1915",77.5,"163","723",52.5,"1005",44.1,"845",29,48.8
"Smith, Will","669257","2024","29","400","459","97","58","22","1","16","92","44",20,9.6,".242",".422",".325","0.747",".237",".438",".320",".328",".324",".201",67.8,2.9,10.5,8.6,32.3,26.3,"7.2","21","89.5","19.2",37.1,10.8,42.2,"99.423835987","94.039032834",67.3,14.9,26,35.5,64.5,"88","248",50.4,"955","170","1172","420","1893",85.1,"94","632",49.6,"939",43.8,"830",20.7,46.5
"Santana, Carlos","467793","2024","38","427","487","102","60","24","0","18","84","52",17.2,10.7,".239",".422",".329","0.751",".244",".415",".327",".326",".333",".171",71.5,17.6,12,9.5,36,28.3,"7.6","7","88.9","15.6",31.6,7,38.3,"99.198158728","93.829321188",64,16.8,22.9,40.2,59.8,"96","239",51.8,"1042","416","989","515","2010",83.2,"104","620",48.2,"969",42.8,"861",23.3,42.7
