"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","xba","xslg","woba","xwoba","xobp","xiso","avg_swing_speed","fast_swing_rate","blasts_contact","blasts_swing","squared_up_contact","squared_up_swing","avg_swing_length","swords","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent"
"Contreras, William","661388","2024","26","506","569","143","89","34","2","18","112","58",19.7,10.2,".283",".464",".359","0.823",".273",".484",".355",".358",".350",".211",74.7,50.7,21.4,16.3,35.5,27,"7.4","18","92.6","6.7",29,10.1,50,"103.864092778","96.646930101",71.2,17.9,25.6,48.8,51.2,"145","297",51.9,"1158","279","1253","530","2231",82.1,"137","764",48.1,"1073",41.9,"934",26.6,47.6
"Rodgers, Brendan","663898","2024","27","425","456","115","80","24","1","10","105","25",23,5.5,".271",".402",".316","0.718",".255",".381",".312",".298",".303",".125",71.7,25.7,14.8,11.5,31.1,24.3,"7.1","23","89.3","5",32,5,44.4,"101.161584563","94.769620688",69.8,14.1,29.5,51.2,48.8,"130","254",49.1,"861","182","917","503","1755",85.7,"88","624",50.9,"894",43,"754",24.8,50
"Castro, Willi","650489","2024","27","478","539","122","77","29","5","11","132","44",24.5,8.2,".255",".406",".338","0.744",".245",".388",".327",".318",".330",".143",70.6,15.8,12.1,8.6,29,20.8,"7.1","17","87.5","13.3",38,7.2,37.2,"98.978117368","93.568480557",72.8,17.7,32,53.7,45.7,"195","363",52.7,"1134","403","1157","511","2150",82,"131","740",47.3,"1016",42.7,"917",29.6,51.3
"Verdugo, Alex","657077","2024","28","488","545","114","75","27","1","11","82","45",15,8.3,".234",".361",".294","0.655",".258",".392",".286",".312",".320",".134",68.4,7.9,11.4,9.5,41,34.1,"6.3","5","88.8","10",32.9,6,36.2,"98.324243932","93.250425728",61,9.2,24.6,35.9,63.7,"85","237",46.6,"965","312","1198","430","2068",90.5,"62","673",53.4,"1104",44.7,"924",16.2,44
"Candelario, Jeimer","600869","2024","30","427","463","96","51","23","2","20","114","27",24.6,5.8,".225",".429",".279","0.708",".223",".374",".303",".284",".278",".151",68.4,4.9,10,7.2,34.3,24.8,"7.8","17","86.9","12.4",33.9,8.2,34.5,"97.855535823","92.968221397",70.1,20.9,34.6,44.5,55.5,"143","321",52,"927","289","891","507","1781",79.1,"125","599",48,"854",43.1,"768",29.1,51.7
"O'Hoppe, Logan","681351","2024","24","406","442","100","68","14","1","17","126","26",28.5,5.9,".246",".411",".304","0.715",".264",".472",".312",".340",".320",".208",70.7,17,14.4,10.2,32.1,22.7,"7.3","31","90.2","13.7",41.1,11.7,46.5,"101.243455319","95.09323637",72.8,21.6,34,51.7,48.3,"155","300",52.8,"883","204","852","445","1673",78.4,"124","575",47.2,"790",41.9,"701",31.9,52.3
"Harper, Bryce","547180","2024","31","448","515","124","67","31","0","26","111","64",21.6,12.4,".277",".520",".367","0.887",".273",".488",".374",".362",".365",".215",74.2,42.6,18.4,13.7,29.2,21.8,"7.3","9","91.2","14.2",35.7,9.7,47.8,"102.697149231","95.715557418",77.2,15.3,32.2,49.9,50.1,"181","363",56.5,"1129","314","1007","565","1997",84.4,"103","672",43.5,"870",39.7,"794",27.4,51.8
"Profar, Jurickson","595777","2024","31","474","556","135","90","24","0","21","82","60",14.7,10.8,".285",".468",".382","0.850",".285",".452",".369",".365",".383",".168",71.7,23.7,12.9,10.9,32.8,27.7,"7.4","9","90.8","12.1",31.9,7.5,43,"100.756820612","94.726448414",68,12.2,22.2,31.2,67.6,"78","250",49.5,"1125","349","1303","533","2272",87.4,"95","780",50.5,"1147",42.8,"973",16.8,45.3
"Lindor, Francisco","596019","2024","30","545","607","147","84","35","1","27","108","48",17.8,7.9,".270",".486",".339","0.825",".284",".533",".355",".379",".354",".249",72.4,23.1,18.4,14.3,37.7,29.3,"7.6","12","90.9","17.1",35.7,13.2,47.5,"101.064906667","95.082551233",70.2,16.6,25.5,41.2,58.4,"120","291",48.1,"1143","360","1361","559","2375",82.8,"144","865",51.9,"1233",45.2,"1073",22.8,48.7
"Turang, Brice","668930","2024","24","453","504","115","86","18","4","7","88","41",17.5,8.1,".254",".358",".317","0.675",".261",".351",".298",".301",".324",".090",66.3,3.4,7,6.1,34.9,30.4,"6.1","12","87.8","7",32.7,2.9,31.6,"97.247526944","92.747360975",63.2,8.3,27.7,26,72.1,"67","258",46.1,"932","303","1176","461","2022",89.3,"57","689",53.9,"1091",42.8,"865",13.1,46.8
